cocktail_id,ingredient_id,measure
104,233,750 ml
104,258,1/2 cup
104,256,8 oz
104,163,2-3 oz
105,78,1/2 cup black 
105,185,1/2 cup 
105,258,1-2 tsp 
106,12,1/2 oz 
106,92,1/2 oz 
106,167,2 oz 
107,122,1 1/2 oz 
107,258,2 tsp superfine 
107,163,1 1/2 oz 
107,59,4 oz Chilled 
107,192,1 
107,179,1 
108,277,2 oz
108,141,1 tsp
108,112,3
108,267,1 Sprig
108,14,2 dashes
108,270,Top
109,42,2 oz 
109,32,1/2 oz 
109,162,Juice of 1/4 
109,171,Juice of 1/2 
109,162,1 slice 
109,171,1 slice 
110,291,1 cup fruit 
110,29,1 
110,195,4 oz frozen 
110,118,1/2 piece textural 
110,146,6 
111,21,1 can frozen 
111,256,1 cup 
111,258,2 tblsp 
111,162,1 
111,19,1 
111,249,1 L 
111,146,to taste
112,155,1/2 oz 
112,241,1/2 oz 
112,277,1/2 oz 
113,238,2 shots
113,24,1 shot
113,222,1 shot
113,162,Juice of 1/2
113,249,Top
114,78,1/2 
114,208,1/2 
115,277,4.5 cl
115,226,1.5 cl
115,217,1.5 cl
116,122,1 oz
116,169,1 oz
116,262,1 oz
116,196,1
117,113,1/2 oz 
117,6,1/2 oz 
117,263,1 dash 
118,122,2 oz 
118,271,1/2 oz 
119,168,1 1/2 oz 
119,271,1 tblsp 
119,172,1 1/2 oz 
119,258,1 tsp 
119,61,1 
119,146,1 cup crushed 
120,291,1 cup 
120,119,1 cup 
121,244,1 oz 
121,262,1 oz 
121,34,1 dash 
121,259,1/4 tsp 
122,81,1 1/2 oz 
122,12,3/4 oz 
123,12,1 oz 
123,277,1 oz 
123,1,1 oz Bacardi 
123,101,1 oz 
123,31,1 oz 
124,156,1 oz 
124,241,1 oz 
124,44,1 oz 
124,28,1 oz 
125,241,1/4 glass 
125,242,3/4 glass 
126,168,2 oz 
126,172,1 tblsp 
126,186,6 
126,258,1 tsp 
127,168,1 1/2 oz 
127,216,4 chunks 
127,172,1 tblsp 
127,258,1/2 tsp 
128,121,2 1/2 shots 
128,124,to taste
128,146,to taste
